tweet_id,created_at,username,text,likes,retweets,search_term,views,comments,is_parody 
120,2026-07-10,bakiedeb,33 yaşlarına giren Lemina ve Icardi ile yollar ayrılıp takım UCL'de son 16'ya taşıyacak oyuncular alınmalı. Taraftarın sabrı taşıyor. Sol Stoper (Lucumi) 6-8 Lesley 10 numara (Can) Sol kanat (Rashford) Yedek Forvet (Duran),4.0,0.0,#Galatasaray,85.0,0.0,0.0
121,2026-07-10,_denizcimbom,"Lesley Ugochukwu, Carlos Baleba Rashford ve Lucumi alın @GalatasaraySK @abdullahkavukcu",0.0,0.0,#Galatasaray,156.0,0.0,1.0
122,2026-07-10,Eylibroc,Rejindersi alıp yeni bir aşk hikayesi mi yazacak Dursun papi,2.0,0.0,#Galatasaray,326.0,0.0,0.0
123,2026-07-10,9Martensis65,"Hagi, Sneijder gibi 10 numara akın bize, sıkıldık artık sıradan, uzaktan gut bile çekemeyen orta sahalar istemeden.",0.0,0.0,#Galatasaray,25.0,0.0,0.0
124,2026-07-10,ATB1985,Ya bir kere de günaydın yerine transfer paylaştığınızı görelim ulan,0.0,0.0,#Galatasaray,21.0,0.0,1.0
125,2026-07-10,zmir353519,Günaydın Allah aşkına SADECE ne oldu transferler,0.0,0.0,#Galatasaray,35.0,0.0,0.0
126,2026-07-10,AllaTrk4,Günaydın Soyunma odasında tahtaya ilk yazacağın 10 numara alırsanız iyi olacak,0.0,0.0,#Galatasaray,83.0,0.0,0.0
127,2026-07-10,Bilgehan_Cimbom,Günaydın. Transferler nerede ?,0.0,0.0,#Galatasaray,17.0,0.0,1.0
128,2026-07-10,mkocannnn,Adamlar Greenwoodu alıyor siz lesley @abdullahkavukcu 10 numara forvet sol stoper kanat oyuncusu lazım,3.0,0.0,#Galatasaray,88.0,0.0,0.0
129,2026-07-10,Emirhan_uk04,LA NE GUNAYDINI REJİNDERS NERDE KALDI HADİ RİTİM KAÇMASIN,2.0,0.0,#Galatasaray,217.0,0.0,0.0
130,2026-07-10,Branchofgaia,Transfer yapırl,4.0,0.0,#Galatasaray,225.0,0.0,1.0
